Report Number,Report Date,Occur Date,Occur Time,Possible Date,Possible Time,Beat,Apartment Office Prefix,Apartment Number,Location,Shift Occurrence,Location Type,UCR Literal,UCR #,IBR Code,Neighborhood,NPU,Latitude,Longitude
190010138,1/1/2019,1/1/2019,20,1/1/2019,25,511,,,50 UPPER ALABAMA ST SW,Morning Watch,13,LARCENY-NON VEHICLE,620,2302,Downtown,M,33.75194,-84.38964
190010299,1/1/2019,1/1/2019,120,1/1/2019,130,511,,,20 BROAD ST,Morning Watch,,LARCENY-NON VEHICLE,620,2302,Downtown,M,33.75312,-84.39208
190011858,1/1/2019,1/1/2019,1740,1/1/2019,1750,411,,A15,3000 CONTINENTAL COLONY PKWY SW,Evening Watch,26,LARCENY-NON VEHICLE,620,2302,Greenbriar,R,33.68077,-84.4937
190010845,1/1/2019,1/1/2019,415,1/1/2019,420,607,,,1362 BOULEVARD SE,Morning Watch,23,LARCENY-NON VEHICLE,630,2303,Benteen Park,W,33.71744,-84.36818
190011541,1/1/2019,1/1/2019,1400,1/1/2019,1430,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190011619,1/1/2019,1/1/2019,1528,1/1/2019,1528,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,24,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190011772,1/1/2019,1/1/2019,1615,1/1/2019,1836,210,,,3393 PEACHTREE RD NE @LENOX MALL,Evening Watch,8,LARCENY-NON VEHICLE,630,2303,Lenox,B,33.84676,-84.36212
190012152,1/1/2019,1/1/2019,2050,1/1/2019,2050,301,,,902 DILL AVE SW,Evening Watch,12,LARCENY-NON VEHICLE,630,2303,Capitol View,X,33.71803,-84.41768
190010716,1/1/2019,12/31/2018,2350,1/1/2019,315,604,,,486 DECATUR ST SE,Morning Watch,13,LARCENY-FROM VEHICLE,640,2305,Sweet Auburn,M,33.75126,-84.37207
190010831,1/1/2019,1/1/2018,414,1/1/2018,414,410,,,1941 FORT VALLEY DR SW,Morning Watch,20,LARCENY-FROM VEHICLE,640,2305,Pomona Park,R,33.70204,-84.44972
190010905,1/1/2019,1/1/2019,400,1/1/2019,500,512,,,253 TRINITY AVE SW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.75082,-84.39615
190011054,1/1/2019,1/1/2019,125,1/1/2019,127,412,,,2149 BRIAR GLEN LN SW,Morning Watch,20,LARCENY-FROM VEHICLE,640,2305,Briar Glen,P,33.69612,-84.5037
190011151,1/1/2019,1/1/2019,920,1/1/2019,930,205,,,2020 HOWELL MILL RD NW @PUBLIX - HOWELL,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Wildwood (NPU-C),C,33.81022,-84.41347
190011172,1/1/2019,1/1/2019,137,1/1/2019,915,211,,1405,2399 PARKLAND DR NE,Day Watch,26,LARCENY-FROM VEHICLE,640,2305,Lindbergh/Morosgo,B,33.8201,-84.36481
190011191,1/1/2019,12/31/2018,1100,1/1/2019,1004,509,,614,530 PIEDMONT AVE NE,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76909,-84.38208
190011288,1/1/2019,1/1/2019,130,1/1/2019,1116,605,,,641 ROSALIA ST SE,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Grant Park,W,33.73867,-84.36653
190011304,1/1/2019,12/29/2018,330,12/29/2018,645,409,,,1690 HARBIN ROAD SW,Morning Watch,18,LARCENY-FROM VEHICLE,640,2305,Laurens Valley,R,33.70933,-84.48177
190011314,1/1/2019,1/1/2019,1004,1/1/2019,1004,306,,,1959 METROPOLITAN PKWY SW,Day Watch,18,LARCENY-FROM VEHICLE,640,2305,Sylvan Hills,X,33.7008,-84.41018
190011357,1/1/2019,1/1/2019,100,1/1/2019,1205,301,,,746 LEXINGTON AVE SW,Day Watch,13,LARCENY-FROM VEHICLE,640,2305,Adair Park,V,33.72443,-84.41222
190011581,1/1/2019,1/1/2019,1100,1/1/2019,1450,303,,,558 CENTRAL AVE SW,Evening Watch,99,LARCENY-FROM VEHICLE,640,2305,Mechanicsville,V,33.73951,-84.39345
190011593,1/1/2019,1/1/2019,1430,1/1/2019,1515,602,,,1031 PONCE DE LEON AVE NE @MAJESTIC DINER,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Poncey-Highland,N,33.77373,-84.35395
190011777,1/1/2019,12/31/2018,1700,1/1/2019,1200,208,,,3334 PEACHTREE RD NE,Day Watch,,LARCENY-FROM VEHICLE,640,2305,North Buckhead,B,33.84911,-84.37075
190012068,1/1/2019,1/1/2019,1930,1/1/2019,2200,509,,,207 PEACHTREE CENTER AVE NE,Evening Watch,18,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.7602,-84.38554
190012208,1/1/2019,1/1/2019,1809,1/1/2019,2040,507,,A,574 MARIETTA ST NW,Evening Watch,13,LARCENY-FROM VEHICLE,640,2305,Downtown,M,33.76897,-84.39868
